theta_1,se_1,alpha_1,sigma_sq_1,theta_2,se_2,alpha_2,sigma_sq_2,theta_3,se_3,alpha_3,sigma_sq_3
0.218823529501633,0.0148006798003174,42.3945858858501,0.947270285210017,NA,NA,NA,NA,NA,NA,NA,NA
0.249353783805513,0.0200614528714587,0.218674700697213,0.0130770159716921,0.176105601384627,0.0163906468078812,1.86311149100355,0.00938565786685083,1.9769941944377,0.000778096823691123,1.4894423625518,0.0163287854141849
0.218823366428286,0.0148003746178683,36.1604842571086,0.807939609159459,NA,NA,NA,NA,NA,NA,NA,NA
4.0354459870949e-104,0,0,0,0.137499993640561,623.058260952741,7.853867699424e-05,1.09659987226093e-11,3.71091777132186e-07,5.41254561248083e-17,38.8327349480675,1.07425561550515e-30
0.243698184861477,0.0283388820447177,0.194792891603823,0.0314495674706258,0.174155034093925,0.0213111590744743,0.552637747028808,0.00252312436550732,0.489970185798985,0.00252312436550732,0.266258928747995,0.00252312436550732
0.244882297322214,0.0264779198551006,0.196488855673437,0.0316670194853239,0.176516549826131,0.0221739340492489,0.624014864329236,0.0038864034503742,0.546680148836393,0.0038864034503742,0.332080295222874,0.0038864034503742
0.240537658247335,0.0288743822171719,0.217367392690378,0.0360365365323869,0.17264387371435,0.0173248886136294,0.741882406676412,0.00356807683031578,0.742479318020356,0.00356807683031578,0.464174156259681,0.00356807683031578
0.233207456495009,0.0204590612953187,0.245635826118216,0.0216558015392341,0.178103342060427,0.0170289828735266,1.58966432039019,0.00597684916668171,1.49899893437333,0.00710701174069723,1.244827352022,0.0138668738113718
0.218815722558743,0.0148015701405414,36.1424270630767,0.807585540424057,NA,NA,NA,NA,NA,NA,NA,NA
0.235011960228348,0.0233586261638353,0.236640357509459,0.0351839272467725,0.172632151360592,0.0187943160485999,0.537393436406935,0.00285585329644696,0.491247770058344,0.00285585329644696,0.303631414688936,0.00285585329644696
0.230460805953842,0.0192021925323672,0.256185045652655,0.0439128433064513,0.181750632000561,0.0155853149975597,1.19843967065539,0.00958313417384265,1.19843967065539,0.050730450142357,1.19843967065539,0.0108831642762261
0.241600171212052,0.027957489614467,0.228421881820266,0.0429075151716904,0.179399378242917,0.0188814900737856,0.441738945154293,0.00332698978150706,0.477955933073573,0.00332698978150706,0.321699588264769,0.00332698978150706
0.245069864898573,0.0190394560546164,0.227408098932381,0.014822362577786,0.175158134795591,0.0151275851843665,1.66827581174511,0.00644590361895854,1.70201744306004,0.00134999968127278,1.29372656462457,0.0135338778559574
0.236486481120778,0.0285063262020296,0.22312151792175,0.0320942167783391,0.173501452979447,0.0191066540124391,0.584916920145336,0.00251880953467216,0.551857079352262,0.00251880953467216,0.287794842315349,0.00251880953467216
0.240801896795961,0.025254697663874,0.188696212984256,0.0304447590530863,0.175977479727061,0.0176375271726358,0.49165151835579,0.002308894113299,0.492784808003304,0.002308894113299,0.304045698780858,0.002308894113299
0.245313381054755,0.0262422455195038,0.18938967966835,0.0339942117752775,0.186462540622824,0.0179235957708177,0.61717649064438,0.00330361196970228,0.629252116057737,0.00330361196970228,0.388573974071475,0.00330361196970228
0.240818693104138,0.0183142848329251,0.243842852544749,0.0369139041327227,0.183149314323999,0.0140880779205256,2.57411269387821,0.0207986730521545,2.57411269387821,0.113249800133046,2.57411269387821,0.020385517710204
0.239343011299757,0.0168042654002659,0.240972509058577,0.0313854003408915,0.179552508458261,0.017930058004105,1.56596833620145,0.00437873673303419,1.42506391858854,0.0122270694779773,1.20385317971635,0.0144749836512306
0.240660774057938,0.0208299507095888,0.227124737388071,0.0308591339404505,0.179153763998332,0.0167500931319431,0.928760753646139,0.00538543150467786,0.856752018286596,0.00538543150467786,0.592070241810316,0.00538543150467786
0.239384056932904,0.0237295239977749,0.230925407323626,0.0337894128140968,0.17612788601091,0.015669082171038,0.534134329391987,0.00222111069932519,0.488329673196343,0.00222111069932519,0.294309554228555,0.00222111069932519
0.236302359784966,0.0185816184864472,0.248561899150328,0.0365771455642662,0.183250454385957,0.0143378547531689,4.74280497874894,0.040176164205409,4.74280497874894,0.204211349019756,4.74280497874894,0.0394700439161604
0.240553698517766,0.021153054445998,0.21496956052047,0.0132406718748908,0.173875452616461,0.0158615420323223,1.27643554838123,0.00341758509193796,1.35853175269788,0.00037713990409018,0.892244362636004,0.0094146623880953
0.238378822318793,0.0201373632990342,0.219716990972401,0.0150542674136582,0.178585246897475,0.0199122801398114,0.726373673416184,0.0014032749619119,0.846939900357332,0.000117708956260147,0.346086039300788,0.00406475408035176
0.247012167313414,0.0163332464365804,0.175798555298161,0.0310359247166093,0.181013034048655,0.0185474527600379,1.19267301740294,0.00103061921291247,0.92314664684324,0.00611520923850662,0.677066275481101,0.00716057809733825
0.235429611513714,0.0299926447397039,0.233670502329831,0.0438848208423376,0.169679972416902,0.0211502059597539,0.565215304036256,0.00313802880228977,0.54890347644559,0.00313802880228977,0.326480301464606,0.00313802880228977
0.240264908745604,0.0186262539125632,0.245323135824269,0.0348934132301934,0.182594660619127,0.0142868531604258,5.41304370300455,0.043639497463368,5.41304370300455,0.229391227430183,5.41304370300455,0.042579517068753
0.235645549360295,0.0272199357817169,0.220807884127047,0.0173872633980811,0.169569937976387,0.0213098870842861,0.648018921090427,0.00654470056350737,0.790779153668328,0.000476811890999712,0.450050915151507,0.00655338681241758
0.218823477511017,0.0147999947166959,55.0888732958288,1.23079837571646,NA,NA,NA,NA,NA,NA,NA,NA
0.225993634665468,0.0300894130430273,0.222359347491683,0.00997304292753385,0.173879217918378,0.0209864390929877,0.554405522988272,0.00286601885958339,0.887294384610974,1.92015344916021e-05,0.267416428925304,0.00275754156665171
0.244591411008146,0.0228654546363746,0.196568295506038,0.0195113407697124,0.16608088699026,0.0231247062097631,0.655187459986001,0.00240993619376601,0.708812721543095,0.000327356357736173,0.317523243239621,0.00422766791546084
0.218823494378975,0.0148004827438905,56.2862624632907,1.25763293789308,NA,NA,NA,NA,NA,NA,NA,NA
0.247805786874552,0.0169866164441927,0.223884720028956,0.025095376442261,0.176462668787315,0.0168513137281141,0.994884691795297,0.000724428759088776,0.803860058344457,0.00244753425747301,0.5904128204194,0.00607582183313343
0.238509309863833,0.0277317299352179,0.234751858076229,0.0350801934411007,0.171321630759728,0.0192745072729246,0.533017531248117,0.00319805756455447,0.562553516957735,0.00319805756455447,0.353671812441655,0.00319805756455447
0.24152058755968,0.019219159663691,0.205067624457531,0.0334226400914393,0.179258447068584,0.0202051840736943,1.11880716714154,0.00196299828867976,0.943056438523767,0.00608396429410781,0.700242088325095,0.00834622074103108
4.5709084063288e-52,0,0,0,0.145021423084134,646.047867541696,2.99262779794705e-07,6.88448403028652e-06,2.39009420375705,6.88448403028652e-06,10.0612044196993,6.88448403028652e-06
0.218823489846957,0.0148007113170052,44.7564584043518,1.00004796237925,NA,NA,NA,NA,NA,NA,NA,NA
-1.59016315158779e-61,0,0,0,0.21,"3,26671997633899E+016",0.0371847701404896,2.16833056024427e-06,0.0436506595357291,2.09691332254292e-22,14.1731297307919,0.000188312755929246
0.223177692305001,0.0164363776068425,0.66640773212532,0.252908945189355,0.172497813139818,0.0188446763235826,0.927476823871084,0.000275719371254628,0.326668081774209,0.254581322941169,0.624492107736917,0.00674156486048656
0.243022269434813,0.0223534154106343,0.203989098849409,0.0379159925410436,0.17672967137011,0.0169022960114064,0.537909116731298,0.00214408493108701,0.514086056941525,0.00214408493108701,0.287853070785757,0.00214408493108701
0.231988161130977,0.0192517096831583,0.254930429005465,0.0460069629480935,0.184866915279754,0.0152421430571741,1.34762053263722,0.0106193004610541,1.34762053263722,0.0602286982613349,1.34762053263722,0.0118573782537767
0.232205295069193,0.0270354150384508,0.23973143114546,0.0402184344866162,0.174321251247172,0.0173902904534278,0.594844084072762,0.00299775077142283,0.579009790319006,0.00299775077142283,0.377075691124178,0.00299775077142283
0.234005017866499,0.0189431311111149,0.242527029454286,0.016144113995047,0.17789355603099,0.0151741744604308,2.24081804241744,0.00968717147328482,2.31939942242679,0.0020855928431322,1.85354711449328,0.0173100708487337
0.237885957070634,0.0324288055893227,0.2004102274457,0.0345608746901273,0.182492683087187,0.0213914516499396,0.382894428172667,0.00259604157113827,0.405675777950173,0.00259604157113827,0.237853026060231,0.00259604157113827
0.234519991231045,0.019258039000211,0.24703419759709,0.0352278372733311,0.183402092455079,0.0146593455239634,3.75255586969502,0.0309734301237732,3.75255586969502,0.158414102674183,3.75255586969502,0.0319404588113251
0.248927422410887,0.0171753547303463,0.218848679237631,0.0302105537257035,0.173613062014046,0.0185467743068497,1.0845254988948,0.000906762449204783,0.874583940456674,0.00367562154363278,0.649515740947157,0.00813648787616581
0.235520863394436,0.0258025374740922,0.226711062329892,0.0296840656307379,0.176023320985148,0.0154881362630443,0.663761291484436,0.00300572356583721,0.632824816846256,0.00300572356583721,0.430163230315308,0.00300572356583721
0.233838861402953,0.0199536370807639,0.224639417946245,0.0243680156757548,0.181244820103965,0.0201170340753784,1.10758910435602,0.00116582643954507,1.0226278426755,0.0013764282188868,0.63014945965205,0.00826168261147358
0.239996388704768,0.0274248185389125,0.217585485893907,0.0154065555683845,0.176379748137283,0.020186523277744,0.732232058087186,0.00127144518008702,0.805775933883337,0.000158171632355616,0.335759957640444,0.00338114820323545
0.23024241948627,0.0236699281316061,0.230461983416443,0.0151070197298824,0.173610657826304,0.018947575049744,0.884171310561646,0.0126767696244719,1.02648656559412,0.000570048511932016,0.71391494970688,0.00944887765564567
0.231044378392171,0.0186060177737737,0.254242656427612,0.0380648896684683,0.185024935745571,0.0145648963247653,4.51486725846047,0.0363309294291138,4.51486725846047,0.202225168035697,4.51486725846047,0.0389365441074031
0.241985375813191,0.0252667070908428,0.192549798675408,0.0299047874408654,0.177345722210242,0.0178741191204283,0.609188477575938,0.00338099588388918,0.580485753151385,0.00338099588388918,0.385844060876816,0.00338099588388918
0.235140925860408,0.0281788119453555,0.226038464643715,0.0322561396884065,0.175093242474428,0.0151757031600193,0.80414135992683,0.00387378122295454,0.76953128302602,0.00387378122295454,0.540040999358718,0.00387378122295454
0.236884101671186,0.0183766087196449,0.248064007076759,0.0358407869680179,0.183833079737742,0.0140879275879655,6.74161158677162,0.0527706454565083,6.74161158677162,0.298990243907392,6.74161158677162,0.053688744485297
0.232546134681271,0.0191814493653323,0.249469691231015,0.0383273402690542,0.180992782299024,0.0154715429403225,2.42157874505395,0.0189505283634535,2.42157874505395,0.0963948523003509,2.42157874505395,0.0213242679450005
0.231616998128426,0.0330511226607222,0.256313944670546,0.0467553890766675,0.178085566724286,0.0168637766479479,0.403547919396266,0.00235872134665692,0.448763354727153,0.00235872134665692,0.284504791206008,0.00235872134665692
0.239758007293553,0.0179656404839889,0.246955404642729,0.0289413835030281,0.179251379253804,0.0166727060845725,1.46116037419171,0.00230755899371535,1.20605740122533,0.0171189174802027,1.05961957670299,0.0110544684758611
0.242062408042836,0.0303099392331575,0.186677647583258,0.0362354280131012,0.176182322680273,0.0237968297184901,0.501466177551664,0.0041207596253646,0.51599326778696,0.0041207596253646,0.337881340027087,0.0041207596253646
0.245059193863606,0.022034901409388,0.228080170258274,0.0196853998134161,0.174321864174225,0.0184091002481671,1.34966035595033,0.00275808278426018,1.25572887861724,0.00256287082192596,0.945986230367144,0.011399714775731
0.235620846118709,0.019296343599107,0.248577932438047,0.0367919777871548,0.183573400906787,0.0145583151338485,4.03586160505751,0.0333841964919892,4.03586160505751,0.177739075517958,4.03586160505751,0.0342045748133908
0.255363376865057,0.0210943664116865,0.178494157783314,0.0170030461446941,0.179463698585203,0.0218038724685688,0.925034139048659,0.00539021575519236,0.888367351298349,0.00189182496770849,0.634654136243812,0.0114264944507083
0.241819561716019,0.0247811028940605,0.212764075962368,0.0170675988190483,0.170936475450487,0.0206232741382941,0.581215708007884,0.00311642323537605,0.741944100985631,0.000238526035090222,0.359050894880579,0.00453643269853083
0.242464480873641,0.025377772224491,0.221783196662779,0.0366065222673475,0.177674588398035,0.0164263401106614,0.702437095209154,0.0044051887437533,0.722415771890569,0.0044051887437533,0.520803139559343,0.0044051887437533
0.229788598318121,0.0186591678052874,0.256009783205265,0.0438107499004107,0.185134547746696,0.0145317232751533,1.43795997278258,0.0115142310602254,1.43795997278258,0.0646931423242301,1.43795997278258,0.0121847210742402
0.233446310628073,0.0244520271796942,0.23237262136786,0.0306603706948093,0.180442537890409,0.0148981378370307,0.753322136184594,0.00384957927778581,0.736900436034651,0.00384957927778581,0.510146990832718,0.00384957927778581
0.240276303128063,0.0184254042923874,0.232769035880524,0.0202858855999042,0.177289454554018,0.0173442957926496,1.32602661131072,0.00300528233872494,1.26378939678656,0.00263401809669811,0.916411936080938,0.00987507444111862
0.232891160561077,0.0257195676344734,0.23865781883327,0.0342417829285355,0.175439792179002,0.0178687065880996,0.756141490399552,0.00529906841900609,0.695537181108165,0.00529906841900609,0.508170847529844,0.00529906841900609
