longitude,latitude
-42.594722,-19.221389
-34.898908,-6.905756
-45.833333,-21.116667
-42.7767,-19.8431
-43.808889,-20.168056
-44.366667,-21.25
-43.000423,-22.519818
-40.690445,-20.412259
-40.481944,-19.7475
-42.523889,-22.484722
-45.9375,-23.075
-42.831111,-22.378333
-41.9125,-21.823889
-42.831389,-22.629722
-49.445802,-28.372512
-48.7802778,-26.1002778
-43.001248,-22.45127
-39.2842,-14.6033
-48.699172,-25.54018
-48.690172,-25.624859
-48.6617,-26.9081
-49.4105556,-27.27
-44.070278,-21.890278
-49.5178,-27.0569
-43.383067,-21.726263
-43.895833,-22.5625
-40.826111,-19.874444
-45.541667,-23.594444
-42.609444,-22.419722
-40.703333,-20.563056
-46.310098,-22.919691
-47.015893,-23.686929
-51.667407,-25.482189
-42.722778,-22.329722
-46.326813,-22.857113
-52.26012,-24.32015
-51.253889,-25.372972
-43.1166667,-22.8833333
-49.283397,-25.658865
-49.32808,-25.208484
-48.87,-26.37
-50.5808334,-27.3591667
-52.170194,-25.951593
-48.550224,-27.719272
-50.58,-26.6408333
-50.7513889,-26.645
-48.8777778,-26.2366666
-48.463558,-25.291608
-47.879483,-24.603706
-49.59578,-25.14148
-49.957262,-29.062457
-51.029885,-26.219017
-48.666667,-25.250001
-49.157618,-25.419851
-48.69,-27.72
-49.136578,-27.903618
-50.691887,-26.968671
-49.766476,-29.084523
-49.3211111,-27.6313889
-49.4105556,-27.54
-49.9505556,-26.6402777
-52.2,-26.46
-51.12,-27.36
-49.86,-29.16
-52.456445,-28.293745
-50.188092,-25.116373
-48.985617,-25.505844
-51.6,-26.416667
-49.930278,-29.316944
-46.501111,-24.005
-44.703682,-22.372816
-50.895,-26.775
-51.411736,-23.527957
-50.43899,-27.258124
-48.781687,-28.480425
-50.240089,-25.194521
-47.254435,-23.833064
-50.255013,-24.246453
-52.375131,-24.056429
-50.022778,-29.178889
-48.602963,-25.903961
-53.100389,-25.691389
-50.412828,-26.179003
-48.69,-27.81
-53.2816667,-26.2822223
-51.9747223,-27.3138889
-51.1627778,-27.6333333
-53.586894,-27.085056
-49.4972222,-28.5291667
