state,mean_no,intercept_no,angular_no
other,0.192500990627432,0.157914057155902,0.0056384883466516
AF,0.216794716683596,0.297974970196009,-0.0240426734971522
AFother,0.272226938964536,0.255513104857541,0.00458903677923932
other,0.191626772329785,0.165682661165484,0.00579376739453153
AF,0.218901351389382,0.28356168719592,-0.0230596419539938
AFother,0.298819141935229,0.201824744708455,0.0291993653969488
other,0.192378640489921,0.165187786719249,0.00692008652271406
AF,0.216697408475081,0.282421082023178,-0.0300593778541114
AFother,0.290837286457428,0.22385328105358,0.0191455830929424
other,0.195417534309698,0.168826220270505,0.0058165086392953
AF,0.21890480034064,0.302918367327283,-0.0277770425946678
AFother,0.299773951908141,0.180240493249015,0.0295108000364462
other,0.191681139115653,0.179535795677569,0.00283765427112122
AF,0.218466513806528,0.2855096120473,-0.0181293410867751
AFother,0.292020751586034,0.268679438968483,0.00535009233462744
other,0.194979988442616,0.164797711645976,0.00590231505479983
AF,0.21907293139287,0.293222840602129,-0.0197256317647084
AFother,0.308484202864416,0.251493022969694,0.0133881757698409
other,0.194723337752499,0.159183027817516,0.00605793963024362
AF,0.218329493351869,0.285728456958598,-0.0207909047976301
AFother,0.305394925622158,0.230061218925099,0.0207572615696983
other,0.18699025966628,0.156736293329393,0.00673569461674038
AF,0.218582935446819,0.26205518748725,-0.0128454027979168
AFother,0.304866349716992,0.204338262075429,0.0205944736991271
other,0.18767136469068,0.183343001734209,0.000825228802853546
AF,0.218438641493708,0.331971781031849,-0.0325453249954262
AFother,0.272700045073549,0.230064734154444,0.0101570080507679
other,0.192322946070882,0.178637069161059,0.00267540942076259
AF,0.216024663050031,0.291612961030345,-0.022882198599333
AFother,0.230866331610332,0.266338403838776,-0.00860676899783515
other,0.194181958335953,0.168073602337807,0.00609036679120474
AF,0.218207062624755,0.299778944494553,-0.0231100552127428
AFother,0.305570691755387,0.224043265957737,0.0209694162152937
other,0.190886247578087,0.195167749517225,-0.000884167249687918
