theta_1,se_1,alpha_1,sigma_sq_1,,,,,,,,
-0.120391871612439,0.202458724999077,0.207622566494894,0.304507066992798,NA,NA,NA,NA,NA,NA,NA,NA
-0.144121253485737,0.200737099724504,0.210861936416677,0.308294015644828,NA,NA,NA,NA,NA,NA,NA,NA
-0.225332451747738,0.205024461966412,0.30397573148564,0.473662320412897,NA,NA,NA,NA,NA,NA,NA,NA
-0.201193399916808,0.368394130562542,-1.45811439622194e-10,2.66987279641887e-10,NA,0.161206412280037,NA,NA,NA,NA,NA,NA
-0.22651296351168,0.439425422641757,-2.26393831073288e-10,4.3919431082688e-10,NA,0.136224469034152,NA,NA,NA,NA,NA,NA
-0.140799699455705,0.380096708952078,-1.18854421023434e-10,3.20854195357315e-10,NA,0.14988544395012,NA,NA,NA,NA,NA,NA
-0.105841876909549,0.209904932793298,0.201843454004975,0.318508719803437,NA,NA,NA,NA,NA,NA,NA,NA
-0.146171768162451,0.184561119826695,0.246519477547599,0.368608781236061,NA,NA,NA,NA,NA,NA,NA,NA
-0.148858462575145,0.208481150569388,0.226052538787933,0.354973153531516,NA,NA,NA,NA,NA,NA,NA,NA
-0.170398682286321,0.214023564814191,0.194666257285751,0.301941269889789,NA,NA,NA,NA,NA,NA,NA,NA
-0.194353689352534,0.18320315188946,0.322331996888527,0.497124635597264,NA,NA,NA,NA,NA,NA,NA,NA
-0.174812466402029,0.191726704599666,0.27041298519329,0.397207556832964,NA,NA,NA,NA,NA,NA,NA,NA
-0.160827538000102,0.220723180837932,0.180858643968616,0.289438804952553,NA,NA,NA,NA,NA,NA,NA,NA
-0.108719603727288,0.36810391770181,-7.11004202697302e-11,2.40732511472205e-10,NA,0.171841657853865,NA,NA,NA,NA,NA,NA
-0.17579323980807,0.226365079767347,0.147157162903826,0.241216500587332,NA,NA,NA,NA,NA,NA,NA,NA
-0.209761240894555,0.209032805491927,0.207198646389168,0.318155883379362,NA,NA,NA,NA,NA,NA,NA,NA
-0.174891684721324,0.230407751245101,0.143196060646099,0.234419635885399,NA,NA,NA,NA,NA,NA,NA,NA
-0.205959901354086,0.372019453053262,-1.5717436319788e-10,2.83899536979995e-10,NA,0.15648440763428,NA,NA,NA,NA,NA,NA
