theta_1,se_1,theta_2,se_2,theta_3,se_3,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
4.91865475043021,1.54616803424102,7.36808302910411,1.27417682522434,6.70437519250948,0.843597304833283,0.190777558357955,0.687276588391664,0.190777558357955,0.000624667968240283,0.190777558357955,3.1998662393512
6.65474231384098,1.17530941691748,6.32748225316888e-10,1.1175112614143e-10,1.09886464059118e-09,1.94073023281201e-10,4.17247659929964e-09,7.36910733391602e-10,NA,0.340104525979048,NA,0.322309947250986
6.7616830776764,1.05989027915186,1.71052968554386e-10,2.68124631852322e-11,2.28713963384725e-09,3.58507939092729e-10,2.41870550228065e-09,3.79130820026203e-10,NA,0.54239051613297,NA,0.000400845731838119
5.89107536515661,0.939179858733862,7.43665689951587e-10,1.18558292729529e-10,2.11623111914953e-09,3.37378410618622e-10,1.7527452086892e-09,2.79429967443545e-10,NA,0.397335302293196,NA,0.128930198283615
6.64097696822169,1.17650689509139,7.21939647898334e-10,1.27897894791286e-10,1.33558442634261e-09,2.36610410499658e-10,3.48774228920136e-09,6.17883915451546e-10,NA,0.456875141679387,NA,0.000285524056686524
6.4590388475443,1.00098259150623,8.72751072896843e-10,1.35253657906124e-10,8.164157965679e-10,1.26523159108395e-10,2.53491380094381e-09,3.92845537177462e-10,NA,0.325362754949533,NA,0.247392777228637
6.5726163150389,0.945897632504674,8.81909277216811e-11,1.26919913991772e-11,2.38553887975639e-09,3.43314666557755e-10,2.59988353499684e-09,3.74162063121592e-10,NA,0.437512719722882,NA,0.000465521939260802
6.37681669858363,1.07920065632287,8.90675531520775e-10,1.50736278557518e-10,6.36470434759760e-10,1.07715078445864e-10,3.59747821993378e-09,6.0883055599232e-10,NA,0.272129130137599,NA,0.231184130817869
6.17694774188829,1.08286258598541,7.41305592294058e-10,1.29956108456828e-10,1.26907597050043e-09,2.22477985026298e-10,2.98722301090792e-09,5.23681301781261e-10,NA,0.324025657667528,NA,0.262229624571787
5.7235529120492,0.985490546364668,1.11196378016708e-10,1.91459712191485e-11,2.32555251907394e-09,4.00417373236416e-10,1.93107114101504e-09,3.3249493506415e-10,NA,0.359546671799268,NA,0.000549778792048371
4.53226233021663,1.36176431793891,7.03018641410739,1.29672792055695,6.79199856515487,0.812420304901395,0.23536162126758,0.961988190746389,0.23536162126758,0.000675548590744624,0.23536162126758,3.50259511657785
6.13318078939112,0.963277256956367,1.2303833810579e-09,1.93243990191854e-10,1.26615519448311e-09,1.98862310521175e-10,2.08953289512933e-09,3.28181996366622e-10,NA,0.483339852424032,NA,0.000314194992114245
3.97564941743612,1.2049359541099,5.86614533194516,1.14710188459962,7.07910243433846,0.87792919498913,0.168824144183904,0.696459418530303,0.168824144183904,0.000320431472859516,0.168824144183904,2.87854935107481
5.98169152308236,0.79264823504457,1.64665712320738e-09,2.18202469551801e-10,1.85011140188523e-09,2.45162682107807e-10,2.01165711012259e-09,2.66569489867643e-10,NA,0.310436477797081,NA,0.000514266111389855
6.45720861098495,1.02691872818962,5.39117911610073e-10,8.57383295922989e-11,1.17976851297187e-09,1.87623856357714e-10,3.31131190318947e-09,5.26612722791342e-10,NA,0.29746342035866,NA,0.209478191717268
-879.01267417224,1527.24508930086,0,0,6.9169639483647,0.457534513006967,0.000239450178238769,1.39353179081614,2.57463240460048e-17,1.39353179081614,0.239030865190021,1.39353179081614
6.49586186994697,0.819601323685915,7.25079611610165e-10,9.1485351959649e-11,1.14592061031729e-09,1.44584054873491e-10,3.01852524300633e-09,3.80855894764821e-10,NA,0.386062041928008,NA,0.18914567421714
6.58962592226719,0.88855480836151,5.53390122983064e-10,7.46199344965539e-11,1.4345553386555e-09,1.93437542443147e-10,2.80045791043931e-09,3.77617845275007e-10,NA,0.36223902876283,NA,0.192751657399716
6.42805437718025,1.07319650553586,8.37664351407002e-10,1.39852341313938e-10,1.24725494788484e-09,2.08235583123598e-10,4.07262234598331e-09,6.79945099032257e-10,NA,0.248432633826907,NA,0.24532716048074
6.09553261100795,0.921004704543412,4.42770222760812e-10,6.69003816759191e-11,1.12909124682925e-09,1.70600079853658e-10,2.88321041633263e-09,4.35638774671706e-10,NA,0.360223630429348,NA,0.105947805422557
6.37370946696199,0.867129750805246,1.60945956103985e-09,2.18963583974094e-10,1.63281711146747e-09,2.22141329521911e-10,4.24883231596674e-09,5.78044689117847e-10,NA,0.172865882837493,NA,0.171688957176182
6.28893989796337,0.96111256058678,8.61259233168279e-10,1.31622670966762e-10,8.15083357686847e-10,1.24565803729778e-10,2.41458131276322e-09,3.69010431949967e-10,NA,0.322909388715857,NA,0.347157503431294
6.1313145877648,0.764612794978931,1.18293455442972e-09,1.47519244526221e-10,7.99653530142885e-10,9.97217337237003e-11,1.88414029292855e-09,2.34963930636238e-10,NA,0.356590665331908,NA,0.36411620980938
6.27517212042851,0.910223376393292,1.32117422107596e-09,1.91638354651126e-10,1.08694081159881e-09,1.57662438015418e-10,3.49092345797637e-09,5.06363821687941e-10,NA,0.259491174621397,NA,0.0614146970205131
6.17483993974282,1.01363875289122,8.61663409747757e-10,1.41447459787126e-10,6.33045015927535e-10,1.03918314762911e-10,3.61117824149954e-09,5.92797585832475e-10,NA,0.250665677533246,NA,0.526932945246632
6.68682919402895,1.04655680498268,5.54542123969263e-10,8.67914846707639e-11,1.02031296224971e-09,1.59689359914856e-10,3.46758113313565e-09,5.42711728744802e-10,NA,0.432917415733068,NA,0.176568479204778
6.51592929631628,0.713631346461252,5.53604892412813e-09,6.06313830021822e-10,NA,0.570565773921366,6.51592929631628,0.713631346461252,5.53604892412813e-09,6.06313830021822e-10,NA,0.570565773921366
6.09704607602047,0.922012357040603,1.1683938063593e-10,1.76687778625879e-11,1.98515182395159e-09,3.00200209980865e-10,2.45020354039309e-09,3.70526630984686e-10,NA,0.607397277559671,NA,0.000511633559399563
4.07265069985157,1.02638884190706,7.49757045232422,1.00268389613785,6.68173849332347,0.873197690294325,0.253707094770657,1.0325877640999,0.253707094770657,0.000478279289659317,0.253707094770657,4.29864387119374
6.48077473871919,0.957608414469597,9.00762123805956e-10,1.33097881652736e-10,1.1847930992534e-09,1.7506669912042e-10,3.08335520391073e-09,4.55600913024031e-10,NA,0.252655945704934,NA,0.524311335607741
3.02460088899821,1.75582864143773,6.58447081572299,1.0728266810376,6.89094208699452,0.886778896331665,0.134199316431093,0.790671049923324,0.134199316431093,0.00042950589985395,0.134199316431093,2.13385056183997
-0.162405247104237,2.75567514033693,0,0,7.05946456023733,0.759344668808383,0.0928850521726074,0.48081119268169,1.69189050765703e-17,0.506484751287787,0.13712462850862,2.0259329577657
6.69371156173819,1.02451650156279,5.0662126668856e-10,7.75417110489134e-11,9.91192845763514e-10,1.51708572643068e-10,3.87266663330981e-09,5.92737053917396e-10,NA,0.293793302497418,NA,0.23213754121515
