theta_1,se_1,theta_2,se_2,theta_3,se_3,theta_4,se_4,alpha_1,sigma_sq_1,alpha_2,sigma_sq_2,alpha_3,sigma_sq_3
-6.28191393901658,0.978267576032452,-1.15107881877548e-09,1.79254777572146e-10,-1.38050652210403e-09,2.14983010303246e-10,-2.96180629811441e-09,4.61235078363335e-10,NA,0.31754341593602,NA,0.372590766617489,NA,1.11718607512998
-6.41454055631677,0.896657158410169,-9.94285920841298e-10,1.38986351493382e-10,-9.85917642818539e-10,1.37816590958423e-10,-2.76332364770268e-09,3.86271457474334e-10,NA,0.337853440343833,NA,0.412881411628685,NA,1.10745795668027
-6.7179379815178,0.854964604130493,-6.84996580932344e-09,8.71767248013871e-10,NA,0.603465159488736,-6.7179379815178,0.854964604130493,-6.84996580932344e-09,8.71767248013871e-10,NA,0.603465159488736,-6.7179379815178,0.854964604130493
-6.57064520993801,1.0515437601289,-4.88283371313361e-10,7.81432136227172e-11,-7.15802389460881e-10,1.14554585139447e-10,-3.62307599584663e-09,5.79824786482615e-10,NA,0.357896179397628,NA,0.570478577155319,NA,1.29955954937364
-6.52244225799022,0.896397022352309,-7.3549760978657e-10,1.01081441779305e-10,-4.81906685060562e-10,6.62297496019638e-11,-3.15553761545207e-09,4.33674137773591e-10,NA,0.280345091230302,NA,1.64969187886628,NA,0.991200079506503
-6.65528897012574,0.477981347395194,0.162137823777375,1.23914517941481,-6.65528897012574,0.477981347395194,0.162137823777375,1.23914517941481,-6.65528897012574,0.477981347395194,0.162137823777375,1.23914517941481,-6.65528897012574,0.477981347395194
-6.69013607973048,1.03152556294936,-5.20714475664068e-10,8.02869009305558e-11,-1.12488362527296e-09,1.73441347228762e-10,-3.44921665570213e-09,5.31821043713477e-10,NA,0.358088008033579,NA,0.262561204620479,NA,1.18942393849779
-6.8552341767965,0.735881591529639,-5.67110847450825e-09,6.08770498910739e-10,NA,0.612893050791626,-6.8552341767965,0.735881591529639,-5.67110847450825e-09,6.08770498910739e-10,NA,0.612893050791626,-6.8552341767965,0.735881591529639
-6.62410101215209,0.460304147017977,0.232739814380757,1.75811464091217,-6.62410101215209,0.460304147017977,0.232739814380757,1.75811464091217,-6.62410101215209,0.460304147017977,0.232739814380757,1.75811464091217,-6.62410101215209,0.460304147017977
-6.27248465757664,0.891011305077835,-1.29832871337393e-10,1.84428599586441e-11,-1.71616192875923e-09,2.43782131538782e-10,-2.11204000464985e-09,3.00016918916867e-10,NA,0.478097248182979,NA,0.000369010418393377,NA,1.43486958862475
-6.64676992410014,0.813885533066218,-4.9519384594537e-09,6.06356338312585e-10,NA,0.756215700461665,-6.64676992410014,0.813885533066218,-4.9519384594537e-09,6.06356338312585e-10,NA,0.756215700461665,-6.64676992410014,0.813885533066218
-6.76686231707787,0.791953691397139,-5.17307254059515e-09,6.05425927471602e-10,NA,0.681513491520104,-6.76686231707787,0.791953691397139,-5.17307254059515e-09,6.05425927471602e-10,NA,0.681513491520104,-6.76686231707787,0.791953691397139
-6.85551962231728,0.862391622288276,-5.98964314679361e-09,7.5346849762866e-10,NA,0.65906847327911,-6.85551962231728,0.862391622288276,-5.98964314679361e-09,7.5346849762866e-10,NA,0.65906847327911,-6.85551962231728,0.862391622288276
-6.4362062901175,1.05455914812676,-3.97375088478076e-10,6.51090900295838e-11,-6.50095990431944e-10,1.06516889448243e-10,-2.50548486722974e-09,4.10518536562017e-10,NA,0.402159143674044,NA,0.736354602669692,NA,1.7891016464332
-4.5503746329772,1.30487352664103,-6.97831557977206,1.27346200603524,-6.79887045709326,0.882116364956426,0.159009750640049,0.687235546143764,0.159009750640049,0.000640103785134291,0.159009750640049,2.76151949714078,-4.5503746329772,1.30487352664103
-6.66410770694157,0.997127481325379,-4.77638019794579e-10,7.14673316529554e-11,-6.51479608001635e-10,9.74786496900191e-11,-5.53148515214903e-09,8.27657069828847e-10,NA,0.263600903366302,NA,1.01591738840191,NA,0.68972353339296
-4.90344898025705,0.407117170806702,-8.31338220015989,2.42007081415324,-6.75233883501466,0.646302304148226,0.392107907644502,0.209581814298539,0.102473889533226,0.00368772311985474,0.168175193399227,1.64036844705483,-4.90344898025705,0.407117170806702
-6.71593350287773,0.451520848437427,0.215342767788948,1.61456805794009,-6.71593350287773,0.451520848437427,0.215342767788948,1.61456805794009,-6.71593350287773,0.451520848437427,0.215342767788948,1.61456805794009,-6.71593350287773,0.451520848437427
