species,threshold,accuracy,sensitivity,specificity,tss
atlantica,0.5,0.953172908716852,0.388888888888889,0.95427375971309,0.343162648601979
atlantica,0.75,0.921954768773544,0.595238095238095,0.922594142259414,0.517832237497509
atlantica,0.95,0.876420497347274,0.785714285714286,0.876569037656904,0.66228332337119
baumgratziana,0.05,0.987295383616433,0.233333333333333,0.988272709202942,0.221606042536275
baumgratziana,0.25,0.949282218401335,0.366666666666667,0.950009938382032,0.316676605048698
baumgratziana,0.5,0.896678304866701,0.7,0.896938978334327,0.596938978334327
baumgratziana,0.75,0.821545097389765,0.783333333333333,0.821606042536275,0.604939375869608
baumgratziana,0.95,0.708099037057303,0.833333333333333,0.707910952096998,0.541244285430332
brunnea,0.05,0.970541262038568,0,0.972380097716622,-0.0276199022833782
brunnea,0.25,0.888135969896709,0.412698412698413,0.889021836673646,0.301720249372059
brunnea,0.5,0.799957988498831,0.634920634920635,0.800279190347991,0.435199825268625
brunnea,0.75,0.717752176709762,0.746031746031746,0.717718616013561,0.463750362045307
brunnea,0.95,0.618826589655485,0.849206349206349,0.618406620799681,0.46761297000603
budlejoides,0.05,0.943612855281592,0.227272727272727,0.951007466503017,0.178280193775745
budlejoides,0.25,0.817069253643448,0.634284016636958,0.81896287204664,0.453246888683598
budlejoides,0.5,0.713604603552315,0.812834224598931,0.712590774266135,0.525424998865065
budlejoides,0.75,0.573899469117021,0.921271538918598,0.570318093484709,0.491589632403307
budlejoides,0.95,0.397648730686261,0.96078431372549,0.391837987112611,0.352622300838102
burchellii,0.05,0.97777107221887,0.376811594202899,0.981971032107769,0.358782626310667
burchellii,0.25,0.958257895795615,0.652173913043478,0.960397042438975,0.612570955482453
burchellii,0.5,0.92013679340173,0.753623188405797,0.921300516560316,0.674923704966113
burchellii,0.75,0.854154093743714,0.826086956521739,0.854350248151524,0.680437204673263
burchellii,0.95,0.752665459666063,0.869565217391304,0.751848475640636,0.62141369303194
capixaba,0.05,0.99892952720785,0.466666666666667,0.999087844536982,0.465754511203649
capixaba,0.25,0.996808405193775,0.933333333333333,0.996827285346024,0.930160618679358
capixaba,0.5,0.992546337595401,0.933333333333333,0.992563950029744,0.925897283363077
capixaba,0.75,0.985746853008227,0.933333333333333,0.985762442990284,0.919095776323617
capixaba,0.95,0.974011299435028,0.933333333333333,0.974023398770573,0.907356732103906
castaneiflora,0.05,0.990955420265514,0.133333333333333,0.992136956305365,0.125470289638698
castaneiflora,0.25,0.965809950273707,0.283333333333333,0.966756245645466,0.2500895789788
castaneiflora,0.5,0.92833984915356,0.416666666666667,0.929033542350951,0.345700209017617
castaneiflora,0.75,0.887987409762426,0.7,0.888225340897781,0.588225340897781
castaneiflora,0.95,0.828849679556093,0.916666666666667,0.828705086095352,0.745371752762019
chrysophylla,0.05,0.948952643688817,0.0960317460317461,0.954283984256736,0.0503157302884823
chrysophylla,0.25,0.821283463695338,0.579365079365079,0.822787365021698,0.402152444386777
chrysophylla,0.5,0.634246368314579,0.788095238095238,0.633262690483399,0.421357928578637
chrysophylla,0.75,0.461946142548519,0.983333333333333,0.458673932788374,0.442007266121708
chrysophylla,0.95,0.306995277417757,1,0.302654152790393,0.302654152790393
cinerascens,0.05,0.959501880113247,0.201381583561259,0.983676134508652,0.185057718069911
cinerascens,0.25,0.928073054112823,0.525878392594151,0.940907606921319,0.46678599951547
cinerascens,0.5,0.852981651376147,0.836419103723964,0.853520513657634,0.689939617381598
cinerascens,0.75,0.748362859854476,0.948944526264114,0.741974099466754,0.690918625730867
cinerascens,0.95,0.622756011089798,0.989795918367347,0.61105669822614,0.600852616593487
cipoensis,0.05,0.998810497341065,0.111111111111111,0.999503968253968,0.110615079365079
cipoensis,0.25,0.996927110760631,0.111111111111111,0.997619047619048,0.108730158730159
cipoensis,0.5,0.995142783067699,0.444444444444445,0.995535714285714,0.439980158730158
cipoensis,0.75,0.991871599162457,0.444444444444445,0.992261904761905,0.436706349206349
cipoensis,0.95,0.987212706377841,0.888888888888889,0.987301587301587,0.876190476190476
corallina,0.05,0.981464872944694,0.266666666666667,0.983608195902049,0.250274862568716
corallina,0.25,0.950373692077728,0.5,0.951724137931035,0.451724137931035
corallina,0.5,0.895366218236173,0.733333333333333,0.895852073963018,0.629185407296352
corallina,0.75,0.81644245142003,0.866666666666667,0.816291854072964,0.68295852073963
corallina,0.95,0.69825610363727,0.9,0.697651174412793,0.597651174412794
cowanii,0.05,0.983316613116459,0.415750915750916,0.985655532149664,0.40140644790058
cowanii,0.25,0.965734185202033,0.562271062271062,0.967398936703782,0.529669998974844
cowanii,0.5,0.909290517840447,0.82967032967033,0.909619821446484,0.739290151116814
cowanii,0.75,0.861638229123024,0.928571428571429,0.861370247768081,0.789941676339509
cowanii,0.95,0.772527887189799,0.952380952380953,0.771792556926472,0.724173509307425
cubatanensis,0.05,0.946934817316528,0.307007355787843,0.955142118863049,0.262149474650892
cubatanensis,0.25,0.787021057688541,0.685830429732869,0.788320413436692,0.474150843169561
cubatanensis,0.5,0.614654840136849,0.862756484707704,0.611472868217054,0.474229352924759
cubatanensis,0.75,0.473110583402109,0.943283004258614,0.467080103359173,0.410363107617787
cubatanensis,0.95,0.347384600831501,0.975609756097561,0.339328165374677,0.314937921472238
cyathanthera,0.05,0.980427401637707,0.0333333333333333,0.983273237179487,0.0166065705128205
cyathanthera,0.25,0.937787098062712,0.5,0.939102564102564,0.439102564102564
cyathanthera,0.5,0.89035350509287,0.8,0.890625,0.690625
cyathanthera,0.75,0.833333333333333,0.866666666666667,0.833233173076923,0.69989983974359
cyathanthera,0.95,0.751547833033753,0.933333333333333,0.751001602564103,0.684334935897436
dichrophylla,0.05,0.975266908490811,0.383838383838384,0.977284098869208,0.361122482707593
dichrophylla,0.25,0.933578021702353,0.593434343434343,0.934754328029621,0.528188671463964
dichrophylla,0.5,0.84690803014764,0.73989898989899,0.847293105173621,0.587192095072612
dichrophylla,0.75,0.697905427939407,0.797979797979798,0.697588311818273,0.495568109798071
dichrophylla,0.95,0.487669450991884,0.856060606060606,0.486440508355849,0.342501114416455
discolor,0.05,0.970276008492569,0.252525252525252,0.977532679738562,0.230057932263814
discolor,0.25,0.912445657668587,0.585858585858586,0.915747549019608,0.501606134878194
discolor,0.5,0.829845313921747,0.787878787878788,0.830269607843137,0.618148395721925
discolor,0.75,0.732484076433121,0.939393939393939,0.730392156862745,0.669786096256685
discolor,0.95,0.619452027095339,0.98989898989899,0.615706699346405,0.605605689245395
dispar,0.05,0.954311363173326,0.44854797979798,0.959367023991832,0.407915003789812
dispar,0.25,0.884969821754517,0.642361111111111,0.887391526288923,0.529752637400034
dispar,0.5,0.801982758213711,0.796085858585859,0.802041858090863,0.598127716676721
dispar,0.75,0.620444776505389,0.897727272727273,0.617662072485962,0.515389345213235
dispar,0.95,0.411004632115284,0.959280303030303,0.405513016845329,0.364793319875632
dura,0.05,0.999933999934,0.777777777777778,1,0.777777777777778
dura,0.25,0.999933999934,0.777777777777778,1,0.777777777777778
dura,0.5,1,1,1,1
dura,0.75,1,1,1,1
dura,0.95,0.999735999736,1,0.999735921304548,0.999735921304548
fallax,0.05,0.91872831303925,0.191994478951001,0.934777990227321,0.126772469178322
fallax,0.25,0.764915451471104,0.504347826086956,0.770660718079456,0.275008544166412
fallax,0.5,0.643525819325504,0.754589371980676,0.641066496707032,0.395655868687708
fallax,0.75,0.483579048688434,0.855831608005521,0.475355852984916,0.331187460990437
fallax,0.95,0.296509110499917,0.937474120082816,0.282345442957298,0.219819563040114
fasciculata,0.05,0.979164610250895,0.224431818181818,0.9867197875166,0.211151605698418
fasciculata,0.25,0.939112628971031,0.550820707070707,0.942997241802023,0.49381794887273
fasciculata,0.5,0.871750034375905,0.795454545454546,0.872509960159363,0.667964505613908
fasciculata,0.75,0.786791027643139,0.93844696969697,0.785269179691491,0.72371614938846
fasciculata,0.95,0.668151490932128,0.969065656565657,0.665134334457044,0.6341999910227
ferruginata,0.05,0.943425804587209,0.219600725952813,0.956562795089708,0.17616352104252
ferruginata,0.25,0.830791337658196,0.549405122000403,0.835903892561116,0.38530901456152
ferruginata,0.5,0.721041981496828,0.757612421859246,0.720386108488092,0.477998530347337
ferruginata,0.75,0.617064280632397,0.907541843113531,0.61179309621236,0.51933493932589
ferruginata,0.95,0.497732012106046,0.965416414599718,0.489245619557234,0.454662034156952
flammea,0.05,0.919334975369458,0.241830065359477,0.930142842247941,0.171972907607418
flammea,0.25,0.723009031198686,0.542483660130719,0.725888854134084,0.268372514264803
flammea,0.5,0.549055829228243,0.843137254901961,0.544364508393285,0.387501763295246
flammea,0.75,0.422413793103448,0.954248366013072,0.41392972578459,0.368178091797661
flammea,0.95,0.299363711001642,0.986928104575163,0.288395370659994,0.275323475235157
formosa,0.05,0.977002188090293,0.237416904083571,0.983018100467765,0.220435004551336
formosa,0.25,0.947649817638792,0.61301044634378,0.950376245678259,0.563386692022039
formosa,0.5,0.887735491386226,0.762583095916429,0.888753304860687,0.651336400777117
formosa,0.75,0.790702417278099,0.9002849002849,0.789810860280659,0.690095760565559
formosa,0.95,0.666737456027566,0.899335232668566,0.664836282285947,0.564171514954513
heliotropoides,0.05,0.967204893533371,0.307142857142857,0.971339186598042,0.278482043740899
heliotropoides,0.25,0.889379549527724,0.627777777777778,0.891008174386921,0.518785952164699
heliotropoides,0.5,0.754688722766207,0.838888888888889,0.754162882228277,0.593051771117166
heliotropoides,0.75,0.653494032463332,0.935714285714286,0.651730749823393,0.587445035537679
heliotropoides,0.95,0.555409495066475,0.952380952380952,0.552931678272278,0.50531263065323
hyemalis,0.05,0.981671896015498,0.188815060908084,0.992159290209429,0.180974351117514
hyemalis,0.25,0.961000990250971,0.563492063492063,0.96626431445373,0.529756377945793
hyemalis,0.5,0.930759110081852,0.781653746770026,0.932734963375632,0.714388710145658
hyemalis,0.75,0.866916820598216,0.913990402362495,0.866295264623955,0.780285666986451
hyemalis,0.95,0.769777629958697,0.960686600221484,0.767254719900959,0.727941320122443
hypoleuca,0.05,0.972782874617737,0.263888888888889,0.983343678874405,0.247232567763294
hypoleuca,0.25,0.919367991845056,0.631944444444445,0.92364990689013,0.555594351334575
hypoleuca,0.5,0.857084607543323,875,0.856817711566315,0.731817711566315
hypoleuca,0.75,0.760550458715597,0.944444444444444,0.757810883509208,0.702255327953652
hypoleuca,0.95,0.591335372069317,0.972222222222222,0.585661080074488,0.55788330229671
kollmannii,0.05,0.999925727866904,1,0.999925705794948,0.999925705794948
kollmannii,0.25,0.999405822935235,1,0.999405646359584,0.999405646359584
kollmannii,0.5,0.997549019607843,1,0.997548291233284,0.997548291233284
kollmannii,0.75,0.996137849079026,1,0.996136701337296,0.996136701337296
kollmannii,0.95,0.994503862150921,1,0.994502228826152,0.994502228826152
kriegeriana,0.05,0.999519945136587,0.461538461538462,0.999679868288668,0.461218329827129
kriegeriana,0.25,0.998765573208367,0.692307692307692,0.998856672459526,0.691164364767218
kriegeriana,0.5,0.997462567150532,0.846153846153846,0.997507545961767,0.843661392115613
kriegeriana,0.75,0.994582237970054,0.846153846153846,0.994626360559773,0.840780206713619
kriegeriana,0.95,0.985369756543605,0.923076923076923,0.985388274032745,0.908465197109668
lepidota,0.05,0.87426721475145,0.251633986928105,0.884039900249377,0.135673887177481
lepidota,0.25,0.693499068515809,0.556862745098039,0.695656691604322,0.252519436702362
lepidota,0.5,0.481324041785594,0.762091503267974,0.476932668329177,0.239024171597151
